ano,mes,dia,MSRP,valorUnitario,quantidadeEncomendada,vendas,linhaDeProduto_cod
2004,7,21,136,100.0,30,3508.8,2
2004,8,20,136,100.0,25,2992.0,2
2004,9,10,136,100.0,24,3427.2,2
2004,10,14,136,100.0,22,2692.8,2
2004,11,01,136,100.0,33,4128.96,2
2004,11,05,136,64.93,47,3051.71,2
2004,11,21,136,48.05,25,1201.25,2
2004,12,02,136,75.47,26,1962.22,2
2004,12,15,136,54.68,48,2624.64,2
2005,1,31,136,100.0,39,4046.25,2
2005,2,23,136,100.0,34,4846.7,2
2005,3,17,136,100.0,32,3370.56,2
2005,4,01,136,100.0,64,9661.44,2
2003,1,29,147,100.0,42,5398.26,2
2003,4,01,147,100.0,31,4305.28,2
2003,5,28,147,100.0,22,3347.74,2
2003,7,24,147,100.0,26,3188.12,2
2003,9,19,147,100.0,20,3191.2,2
2003,11,06,147,100.0,33,5362.83,2
2003,11,13,147,100.0,28,3433.36,2
2003,11,25,147,100.0,26,4263.74,2
2003,12,09,147,100.0,31,4076.19,2
2004,2,04,147,100.0,48,7020.48,2
2004,3,11,147,100.0,50,6426.5,2
2004,5,04,147,100.0,28,4591.72,2
2004,6,15,147,100.0,26,4033.38,2
2004,7,19,147,100.0,32,4302.08,2
2004,8,19,147,100.0,44,7020.64,2
2004,9,08,147,100.0,30,3855.9,2
2004,10,13,147,100.0,38,6680.78,2
2004,10,22,147,100.0,40,6678.0,2
2004,11,04,147,61.99,46,2851.54,2
2004,11,29,147,100.0,27,4428.0,2
2004,12,10,147,100.0,43,5780.92,2
2005,1,20,147,65.63,35,2297.05,2
2005,2,17,147,100.0,37,6231.54,2
2005,3,09,147,46.9,37,1735.3,2
2005,5,01,147,100.0,27,4427.73,2
2003,3,03,194,100.0,33,5265.15,2
2003,5,08,194,100.0,42,7599.9,2
2003,7,02,194,100.0,42,8008.56,2
2003,9,05,194,100.0,48,9245.76,2
2003,10,10,194,100.0,41,8296.35,2
2003,11,04,194,100.0,30,5019.9,2
2003,11,12,194,100.0,27,5411.07,2
2003,11,20,194,100.0,21,3840.9,2
2003,12,02,194,100.0,20,3930.4,2
2004,1,15,194,100.0,41,7498.9,2
2004,2,22,194,100.0,27,4517.91,2
2004,4,09,194,100.0,28,5774.72,2
2004,7,06,194,100.0,44,9160.36,2
2004,8,02,194,100.0,50,9631.0,2
2004,8,30,194,100.0,21,3432.24,2
2003,10,04,194,100.0,33,5521.89,2
2004,10,16,194,100.0,33,6934.62,2
2004,11,03,194,100.0,31,6876.11,2
2004,11,15,194,71.47,41,2930.27,2
2004,11,24,194,79.65,45,3584.25,2
2005,1,06,194,85.39,33,2817.87,2
2005,2,03,194,76.0,45,3420.0,2
2005,3,03,194,99.04,26,2575.04,2
2005,5,17,194,100.0,12,1961.28,2
2003,2,11,207,100.0,41,8690.36,2
2003,4,16,207,100.0,33,6034.38,2
2003,6,03,207,100.0,46,11279.2,2
2003,8,08,207,100.0,33,8023.29,2
2003,9,28,207,100.0,20,4904.0,2
2003,10,22,207,100.0,44,8594.52,2
2003,11,06,207,100.0,33,7474.5,2
2003,11,14,207,100.0,21,3883.74,2
2003,11,26,207,100.0,47,8887.7,2
2004,1,02,207,100.0,46,8602.92,2
2004,2,12,207,100.0,32,7181.44,2
2004,3,19,207,100.0,42,8378.58,2
2004,5,05,207,100.0,44,10606.2,2
2004,7,20,207,100.0,35,5818.4,2
2004,8,20,207,100.0,41,7071.27,2
2004,9,09,207,100.0,46,8411.56,2
2004,10,14,207,100.0,31,6570.76,2
2004,10,22,207,100.0,38,7975.44,2
2004,11,05,207,64.0,42,2688.0,2
2004,11,20,207,57.22,33,1888.26,2
2004,11,01,207,52.36,48,2513.28,2
2004,12,15,207,100.0,42,4764.48,2
2005,1,23,207,100.0,32,3560.64,2
2005,2,17,207,100.0,34,3823.64,2
2005,3,17,207,69.12,33,2280.96,2
2005,5,05,207,100.0,36,8677.8,2
2003,1,29,136,100.0,27,3394.98,3
2003,3,26,136,100.0,21,3415.44,3
2003,5,28,136,100.0,21,2439.57,3
2003,7,24,136,100.0,38,4829.8,3
2003,9,19,136,100.0,30,4100.1,3
2003,11,06,136,100.0,43,6817.22,3
2003,11,13,136,100.0,41,6163.94,3
2003,11,25,136,100.0,38,4933.92,3
2003,12,05,136,100.0,28,4056.36,3
2004,2,02,136,100.0,43,5759.42,3
2004,3,11,136,100.0,25,3451.0,3
2004,5,04,136,100.0,38,5920.4,3
2004,6,15,136,100.0,41,6668.24,3
2004,7,19,136,100.0,28,4094.72,3
2004,8,19,136,100.0,25,2938.5,3
2004,9,08,136,100.0,41,6387.8,3
2004,10,11,136,100.0,39,6396.0,3
2004,10,22,136,100.0,21,2669.1,3
2004,11,04,136,100.0,27,4784.13,3
2004,11,18,136,99.21,33,3273.93,3
2004,11,29,136,100.0,29,3586.43,3
2004,12,10,136,100.0,49,5960.36,3
2005,1,20,136,100.0,49,8470.14,3
2005,2,17,136,100.0,20,2952.0,3
2005,3,09,136,63.2,39,2464.8,3
2005,5,01,136,100.0,40,6232.0,3
2003,2,24,150,100.0,21,3036.6,1
2003,5,07,150,100.0,50,8284.0,1
2003,7,01,150,100.0,20,2711.2,1
2003,8,25,150,100.0,49,8339.8,1
2003,10,10,150,100.0,38,6238.84,1
2003,11,04,150,100.0,35,4639.25,1
2003,11,11,150,100.0,40,6747.6,1
2003,11,18,150,100.0,28,4512.48,1
2003,12,01,150,100.0,25,4029.0,1
2004,1,15,150,100.0,36,4771.8,1
2004,2,21,150,100.0,43,6087.94,1
2004,4,05,150,100.0,32,4193.28,1
2004,5,18,150,100.0,46,7552.28,1
2004,6,28,150,100.0,48,6434.4,1
2004,8,02,150,100.0,43,5181.5,1
2004,8,27,150,100.0,49,6863.92,1
2004,9,30,150,100.0,24,4157.04,1
2004,10,15,150,100.0,26,4660.24,1
2004,11,03,150,100.0,30,4111.8,1
2004,11,15,150,100.0,24,3542.64,1
2004,11,24,150,100.0,55,8118.55,1
2005,1,05,150,100.0,22,3877.06,1
2005,2,03,150,78.92,49,3867.08,1
2005,3,03,150,100.0,44,5951.44,1
2005,4,08,150,100.0,66,8648.64,1
2003,1,31,151,100.0,34,5958.5,2
2003,4,16,151,100.0,43,5911.64,2
2003,6,03,151,100.0,46,7366.44,2
2003,8,08,151,100.0,33,4985.64,2
2003,9,28,151,100.0,42,5393.64,2
2003,10,22,151,100.0,34,4880.02,2
2003,11,06,151,100.0,47,8378.69,2
2003,11,14,151,100.0,33,4038.21,2
2003,11,26,151,100.0,24,3807.12,2
2004,1,02,151,100.0,26,3142.36,2
2004,2,12,151,100.0,30,4713.6,2
2004,3,15,151,100.0,43,7016.31,2
2004,5,05,151,100.0,25,4381.25,2
2004,7,20,151,100.0,27,4283.01,2
2004,8,20,151,100.0,27,4364.82,2
2004,9,09,151,100.0,24,4242.24,2
2004,10,14,151,100.0,34,4982.7,2
2004,10,22,151,100.0,46,6393.54,2
2004,11,05,151,54.33,27,1466.91,2
2004,11,20,151,100.0,33,4059.33,2
2004,11,01,151,100.0,47,4801.52,2
2004,12,10,151,55.34,49,2711.66,2
2005,1,26,151,100.0,40,5862.0,2
2005,2,17,151,100.0,37,4071.85,2
2005,5,05,151,100.0,47,8236.75,2
2003,3,03,117,100.0,45,6130.35,2
2003,5,08,117,99.82,37,3693.34,2
2003,7,02,117,100.0,48,6031.68,2
2003,9,05,117,100.0,31,3494.94,2
2003,10,11,117,100.0,46,5294.14,2
2003,11,04,117,100.0,47,5464.69,2
2003,11,12,117,100.0,28,2860.76,2
2003,11,20,117,100.0,40,5590.0,2
2003,12,02,117,100.0,20,2254.8,2
2004,1,16,117,100.0,39,4946.76,2
2004,2,22,117,99.82,25,2495.5,2
2004,4,09,117,100.0,29,3167.38,2
2004,7,06,117,100.0,22,2454.54,2
2004,8,02,117,100.0,47,5464.69,2
2004,8,30,117,100.0,45,4756.5,2
2003,10,04,117,100.0,29,3984.6,2
2004,10,16,117,100.0,24,3100.32,2
2004,11,03,117,100.0,35,4850.3,2
2004,11,15,117,83.63,46,3846.98,2
2004,11,24,117,95.93,44,4220.92,2
2005,1,06,117,96.73,34,3288.82,2
2005,2,08,117,100.0,35,3987.2,2
2005,3,03,117,72.38,25,1809.5,2
2005,5,17,117,100.0,10,1092.2,2
2003,2,11,173,100.0,29,4566.05,2
2003,4,16,173,100.0,39,5938.14,2
2003,6,03,173,100.0,42,8138.76,2
2003,8,08,173,100.0,46,9470.94,2
2003,9,28,173,100.0,49,7036.89,2
2003,10,22,173,100.0,27,5559.03,2
2003,11,06,173,100.0,50,7872.5,2
2003,11,14,173,100.0,43,7886.2,2
2003,11,26,173,100.0,38,7232.16,2
2004,1,02,173,100.0,20,3114.4,2
2004,2,12,173,100.0,27,5045.22,2
2004,3,19,173,100.0,49,6952.12,2
2004,5,05,173,100.0,27,4157.73,2
2004,7,20,173,100.0,39,7962.24,2
2004,8,20,173,100.0,24,3778.8,2
2004,9,09,173,100.0,45,8253.0,2
2004,10,14,173,100.0,20,3633.4,2
2004,10,22,173,100.0,36,6913.8,2
2004,11,05,173,100.0,24,2583.6,2
2004,11,20,173,63.38,49,3105.62,2
2004,12,01,173,100.0,26,4408.56,2
2004,12,15,173,62.09,49,3042.41,2
2005,1,26,173,100.0,34,5941.5,2
2005,2,17,173,95.35,34,3241.9,2
2005,3,23,173,100.0,33,6109.29,2
2005,5,05,173,100.0,22,3387.78,2
2003,3,03,79,89.38,39,3485.82,2
2003,5,08,79,63.84,32,2042.88,2
2003,7,02,79,75.01,24,1800.24,2
2003,9,05,79,63.84,21,1340.64,2
2003,10,10,79,73.42,24,1762.08,2
2003,11,04,79,63.84,36,2298.24,2
2003,11,12,79,81.4,20,1628.0,2
2003,11,20,79,64.64,30,1939.2,2
2003,12,02,79,82.99,44,3651.56,2
2004,1,15,79,92.57,28,2591.96,2
2004,2,22,79,77.41,37,2864.17,2
2004,4,09,79,74.21,20,1484.2,2
2004,7,06,79,76.61,35,2681.35,2
2004,8,02,79,83.79,38,3184.02,2
2004,8,30,79,69.43,41,2846.63,2
2003,10,04,79,76.61,22,1685.42,2
2004,10,16,79,81.4,49,3988.6,2
2004,11,03,79,73.42,38,2789.96,2
2004,11,15,79,100.0,33,3607.56,2
2004,11,24,79,93.56,36,3368.16,2
2005,1,06,79,81.62,34,2775.08,2
2005,2,09,79,67.83,24,1627.92,2
2005,3,03,79,70.26,36,2529.36,2
2005,5,17,79,90.17,34,3065.78,2
2003,1,31,118,100.0,41,4615.78,3
2003,4,04,118,100.0,46,5723.78,3
2003,6,03,118,100.0,24,2559.6,3
2003,8,01,118,100.0,21,2140.11,3
2003,9,21,118,100.0,24,3327.6,3
2003,10,22,118,100.0,48,6825.6,3
2003,11,06,118,100.0,26,3543.28,3
2003,11,14,118,100.0,37,4516.22,3
2003,11,25,118,100.0,49,6445.46,3
2003,12,09,118,99.54,34,3384.36,3
2004,2,10,118,100.0,48,4891.68,3
2004,3,11,118,100.0,36,4521.96,3
2004,5,05,118,100.0,46,5069.66,3
2004,6,15,118,100.0,46,6541.2,3
2004,7,20,118,97.17,31,3012.27,3
2004,8,19,118,100.0,41,5247.18,3
2004,9,08,118,100.0,21,2214.87,3
2004,10,13,118,100.0,38,4773.18,3
2004,10,22,118,100.0,45,6185.7,3
2004,11,05,118,58.38,26,1517.88,3
2004,11,20,118,100.0,38,6372.6,3
2004,12,01,118,100.0,48,5232.96,3
2004,12,10,118,64.16,42,2694.72,3
2005,1,23,118,35.71,49,1749.79,3
2005,2,17,118,66.58,32,2130.56,3
2005,5,03,118,100.0,54,5951.34,3
2003,3,03,115,100.0,36,3731.04,2
2003,5,08,115,100.0,20,2142.0,2
2003,7,02,115,97.89,29,2838.81,2
2003,9,05,115,97.89,33,3230.37,2
2003,10,11,115,100.0,50,5182.0,2
2003,11,04,115,100.0,41,4391.1,2
2003,11,12,115,100.0,36,4477.32,2
2003,11,20,115,100.0,27,3544.56,2
2003,12,02,115,100.0,47,5195.85,2
2004,1,16,115,100.0,33,4180.44,2
2004,2,22,115,100.0,21,2684.43,2
2004,4,12,115,93.28,21,1958.88,2
2004,7,06,115,100.0,40,4468.4,2
2004,8,04,115,100.0,28,3127.88,2
2004,8,30,115,100.0,23,2675.13,2
2003,10,04,115,100.0,23,2807.61,2
2004,10,16,115,100.0,25,2504.75,2
2004,11,04,115,100.0,24,2984.88,2
2004,11,15,115,64.74,39,2524.86,2
2004,11,24,115,75.2,55,4136.0,2
2005,1,06,115,88.45,46,4068.7,2
2005,2,09,115,100.0,50,5182.0,2
2005,3,03,115,100.0,47,5243.79,2
2005,4,14,115,93.28,97,9048.16,2
2005,5,17,115,100.0,32,3832.64,2
2003,1,29,116,100.0,35,3920.0,3
2003,3,26,116,100.0,49,4916.66,3
2003,5,28,116,100.0,38,3857.0,3
2003,7,24,116,100.0,32,4181.44,3
2003,9,19,116,100.0,34,4641.0,3
2003,11,06,116,93.34,48,4480.32,3
2003,11,13,116,96.84,21,2033.64,3
2003,11,25,116,93.34,21,1960.14,3
2003,12,05,116,100.0,34,3966.78,3
2004,1,29,116,100.0,46,5152.0,3
2004,3,10,116,100.0,32,3360.0,3
2004,5,04,116,100.0,29,3451.0,3
2004,6,15,116,100.0,41,5453.0,3
2004,7,19,116,96.84,43,4164.12,3
2004,8,17,116,100.0,24,2800.08,3
2004,9,08,116,100.0,41,4687.94,3
2004,10,11,116,98.0,46,4508.0,3
2004,10,21,116,100.0,32,4181.44,3
2004,11,04,116,100.0,22,2251.04,3
2004,11,18,116,40.25,29,1167.25,3
2004,11,29,116,49.6,42,2083.2,3
2004,12,10,116,98.0,39,3822.0,3
2005,1,20,116,100.0,27,3911.49,3
2005,2,17,116,98.0,48,4704.0,3
2005,3,09,116,85.1,29,2467.9,3
2005,5,01,116,100.0,27,3213.0,3
2003,3,10,141,100.0,26,4379.18,2
2003,5,08,141,100.0,34,5004.8,2
2003,7,04,141,100.0,25,3644.75,2
2003,9,11,141,100.0,23,2702.04,2
2003,10,17,141,100.0,28,3764.88,2
2003,11,05,141,100.0,35,4508.0,2
2003,11,12,141,100.0,44,5418.16,2
2003,11,20,141,100.0,22,3300.66,2
2003,12,02,141,100.0,42,6182.4,2
2004,1,16,141,100.0,29,4186.73,2
2004,2,22,141,100.0,32,4529.28,2
2004,4,13,141,100.0,41,5628.89,2
2004,7,06,141,100.0,21,2526.51,2
2004,8,06,141,100.0,34,4667.86,2
2004,8,30,141,100.0,41,6499.32,2
2003,10,05,141,100.0,37,5917.78,2
2004,10,16,141,100.0,37,6231.91,2
2004,11,04,141,100.0,41,5803.14,2
2004,11,17,141,100.0,46,6434.02,2
2004,11,24,141,100.0,40,6454.4,2
2004,12,09,141,97.6,43,4196.8,2
2005,1,07,141,87.06,30,2611.8,2
2005,2,09,141,100.0,35,5895.05,2
2005,3,04,141,93.77,36,3375.72,2
2005,5,17,141,100.0,38,4464.24,2
2003,1,10,102,100.0,39,4808.31,4
2003,3,25,102,99.66,33,3288.78,4
2003,5,21,102,100.0,32,3254.72,4
2003,7,16,102,100.0,31,3184.94,4
2003,9,12,102,100.0,50,5907.5,4
2003,10,18,102,91.44,48,4389.12,4
2003,11,05,102,100.0,43,5036.16,4
2003,11,12,102,87.33,25,2183.25,4
2003,11,21,102,100.0,28,3106.88,4
2003,12,03,102,100.0,36,3735.72,4
2004,1,29,102,89.38,27,2413.26,4
2004,3,02,102,100.0,25,2953.75,4
2004,4,29,102,100.0,40,4684.8,4
2004,6,08,102,95.55,34,3248.7,4
2004,8,17,102,100.0,50,5239.5,4
2004,9,03,102,100.0,38,4567.98,4
2004,10,11,102,95.55,37,3535.35,4
2004,10,21,102,89.38,43,3843.34,4
2004,11,04,102,86.3,43,3710.9,4
2004,11,17,102,95.13,46,4375.98,4
2004,11,29,102,36.11,42,1516.62,4
2004,12,09,102,50.18,50,2509.0,4
2005,1,20,102,100.0,44,9240.44,4
2005,2,16,102,93.16,27,2515.32,4
2005,3,09,102,100.0,35,5548.9,4
2003,1,10,53,50.14,41,2055.74,4
2003,3,25,53,49.06,48,2354.88,4
2003,5,28,53,54.99,42,2309.58,4
2003,7,16,53,43.13,49,2113.37,4
2003,9,12,53,58.22,30,1746.6,4
2003,10,18,53,51.21,45,2304.45,4
2003,11,05,53,44.21,48,2122.08,4
2003,11,12,53,54.45,32,1742.4,4
2003,11,21,53,53.37,46,2455.02,4
2003,12,03,53,63.61,48,3053.28,4
2004,1,29,53,43.13,33,1423.29,4
2004,3,02,53,48.52,31,1504.12,4
2004,4,29,53,58.22,20,1164.4,4
2004,6,08,53,51.75,29,1500.75,4
2004,8,17,53,57.68,27,1557.36,4
2004,9,03,53,56.07,24,1345.68,4
2004,10,11,53,48.52,37,1795.24,4
2004,10,21,53,44.21,25,1105.25,4
2004,11,04,53,57.68,41,2364.88,4
2004,11,17,53,89.89,27,2427.03,4
2004,11,29,53,58.95,21,1237.95,4
2004,12,09,53,72.41,22,1593.02,4
2005,1,20,53,98.63,32,3156.16,4
2005,2,17,53,52.83,25,1320.75,4
2005,3,09,53,100.0,42,4998.0,4
2003,3,18,124,100.0,37,5433.08,2
2003,5,20,124,100.0,26,3073.72,2
2003,7,10,124,99.55,44,4380.2,2
2003,9,11,124,100.0,47,5848.68,2
2003,10,17,124,100.0,43,6153.73,2
2003,11,05,124,100.0,42,4965.24,2
2003,11,12,124,100.0,42,5435.64,2
2003,11,20,124,100.0,29,4258.36,2
2003,12,02,124,100.0,40,4032.0,2
2004,1,16,124,100.0,38,4492.36,2
2004,2,26,124,100.0,38,4161.38,2
2004,4,13,124,100.0,21,2508.66,2
2004,7,06,124,100.0,36,5196.6,2
2004,8,06,124,100.0,23,2604.52,2
2004,9,01,124,100.0,20,2936.8,2
2003,10,05,124,100.0,32,3424.64,2
2004,10,16,124,100.0,29,2923.2,2
2004,11,04,124,100.0,44,4489.76,2
2004,11,17,124,100.0,44,4849.24,2
2004,11,24,124,100.0,36,5848.92,2
2005,2,10,124,42.64,34,1449.76,2
2005,5,17,124,100.0,37,5202.94,2
2003,2,17,157,100.0,36,5279.4,5
2003,4,28,157,100.0,43,6916.12,5
2003,6,16,157,100.0,21,2781.66,5
2003,8,10,157,100.0,32,5248.0,5
2003,10,06,157,100.0,38,6531.44,5
2003,11,08,157,100.0,42,6490.68,5
2003,11,14,157,100.0,32,6004.8,5
2003,11,27,157,100.0,42,7483.98,5
2004,1,12,157,100.0,31,5719.5,5
2004,2,19,157,100.0,49,6954.08,5
2004,5,11,157,100.0,45,8160.3,5
2004,7,21,157,100.0,41,6724.0,5
2004,8,21,157,100.0,45,5747.85,5
2004,9,15,157,100.0,36,5676.84,5
2004,10,14,157,100.0,39,7379.97,5
2004,11,01,157,100.0,27,3704.13,5
2004,11,22,157,100.0,41,5624.79,5
2004,12,03,157,99.52,39,3881.28,5
2005,1,31,157,57.55,28,1611.4,5
2005,3,30,157,100.0,33,4215.09,5
2005,4,01,157,100.0,34,6433.82,5
2005,5,10,157,100.0,24,4352.16,5
2003,1,06,170,100.0,30,5151.0,4
2003,3,18,170,100.0,42,6069.0,4
2003,5,21,170,100.0,21,2856.0,4
2003,9,12,170,100.0,34,5375.4,4
2003,10,18,170,100.0,29,5176.5,4
2003,11,05,170,100.0,24,3508.8,4
2003,11,12,170,100.0,44,7554.8,4
2003,11,21,170,100.0,21,3141.6,4
2003,12,02,170,100.0,33,5890.5,4
2004,1,26,170,100.0,30,5967.0,4
2004,3,02,170,100.0,26,3712.8,4
2004,4,13,170,100.0,41,7597.3,4
2004,8,17,170,100.0,26,3668.6,4
2004,9,01,170,100.0,32,5875.2,4
2003,10,06,170,100.0,43,7310.0,4
2004,10,21,170,100.0,48,8078.4,4
2004,11,17,170,74.04,44,3257.76,4
2004,11,25,170,100.0,45,7650.0,4
2005,2,10,170,100.0,39,5399.55,4
2003,3,03,77,82.39,38,3130.82,2
2003,5,08,77,72.38,43,3112.34,2
2003,7,02,77,79.31,48,3806.88,2
2003,9,05,77,82.39,26,2142.14,2
2003,10,11,77,88.55,38,3364.9,2
2003,11,04,77,63.14,20,1262.8,2
2003,11,12,77,73.92,22,1626.24,2
2003,11,20,77,90.86,45,4088.7,2
2003,12,02,77,85.47,45,3846.15,2
2004,1,16,77,66.99,20,1339.8,2
2004,2,22,77,64.68,47,3039.96,2
2004,4,12,77,73.92,46,3400.32,2
2004,7,06,77,74.69,33,2464.77,2
2004,8,06,77,90.86,29,2634.94,2
2004,8,30,77,82.39,44,3625.16,2
2003,10,04,77,92.4,41,3788.4,2
2004,10,16,77,91.63,20,1832.6,2
2004,11,04,77,78.54,37,2905.98,2
2004,11,15,77,100.0,29,2954.81,2
2004,11,24,77,65.45,55,3599.75,2
2005,1,06,77,100.0,22,3686.54,2
2005,2,09,77,67.76,31,2100.56,2
2005,3,03,77,79.22,49,3881.78,2
2005,4,14,77,73.92,61,4509.12,2
2005,5,17,77,83.93,39,3273.27,2
2003,3,10,142,100.0,38,4432.7,2
2003,5,08,142,100.0,31,4100.99,2
2003,7,04,142,100.0,36,5274.72,2
2003,9,11,142,100.0,25,4232.0,2
2003,10,17,142,100.0,48,6145.44,2
2003,11,05,142,100.0,35,4680.2,2
2003,11,12,142,100.0,21,3286.08,2
2003,11,20,142,100.0,47,7421.3,2
2003,12,02,142,100.0,38,6432.64,2
2004,1,16,142,100.0,41,4840.87,2
2004,2,26,142,100.0,24,3892.08,2
2004,4,13,142,100.0,37,5526.32,2
2004,7,06,142,100.0,49,6203.4,2
2004,8,06,142,100.0,29,3754.05,2
2004,8,30,142,100.0,24,3516.48,2
2003,10,05,142,100.0,47,7488.04,2
2004,10,16,142,100.0,24,3448.08,2
2004,11,04,142,100.0,25,3734.0,2
2004,11,17,142,32.47,30,974.1,2
2004,11,24,142,100.0,22,3160.74,2
2004,12,09,142,64.69,27,1746.63,2
2005,1,10,142,100.0,34,4207.84,2
2005,2,09,142,100.0,36,4352.76,2
2005,3,04,142,43.05,34,1463.7,2
2005,5,17,142,100.0,34,4594.76,2
2003,1,31,163,100.0,24,3457.92,2
2003,4,04,163,100.0,46,7381.16,2
2003,6,03,163,100.0,45,7146.9,2
2003,8,01,163,100.0,39,5938.53,2
2003,9,21,163,100.0,43,7110.91,2
2003,10,22,163,100.0,29,5032.95,2
2003,11,06,163,100.0,20,3667.6,2
2003,11,14,163,100.0,46,7381.16,2
2003,11,25,163,100.0,27,5128.11,2
2003,12,09,163,100.0,44,7060.24,2
2004,2,10,163,100.0,43,8448.64,2
2004,3,15,163,100.0,49,7300.51,2
2004,5,05,163,100.0,40,6549.2,2
2004,6,15,163,100.0,30,5697.9,2
2004,7,20,163,100.0,50,9169.0,2
2004,8,20,163,100.0,23,3238.63,2
